604,0,0,0,9,9,0,0,0,21,0,1,0,2,0,3,0,17,13,0,0,2,0,0,1,14,4,0,0
0,484,11,2,1,0,23,16,25,1,0,0,37,7,8,1,6,2,0,0,1,0,47,17,10,0,0,0,1
0,40,468,7,1,0,6,25,4,0,0,0,1,16,50,0,18,3,0,2,26,2,10,2,17,0,1,0,1
0,5,5,254,0,0,6,7,0,0,0,0,2,8,12,0,2,0,0,0,2,1,3,0,5,1,0,0,0
8,2,0,0,352,129,0,0,0,10,3,10,1,3,2,2,1,1,26,0,0,2,0,0,0,38,6,103,1
8,0,0,0,59,399,0,0,0,20,3,20,1,0,2,15,0,4,41,0,0,2,1,0,0,70,17,38,0
1,23,4,8,0,0,518,50,13,0,0,0,7,14,19,0,3,1,0,0,26,4,5,1,3,0,0,0,0
0,31,14,4,0,0,40,463,12,1,2,0,12,26,8,3,0,0,0,0,26,5,39,6,6,0,2,0,0
1,26,3,4,0,0,10,16,543,0,1,0,16,22,1,0,2,0,2,0,5,5,26,4,10,0,1,0,2
1,1,0,0,0,10,0,1,0,138,0,1,0,1,0,2,0,0,30,0,0,0,0,0,0,1,2,0,0
0,0,0,0,1,2,0,0,0,3,307,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,7,0,0
2,0,0,0,2,8,0,0,0,0,5,542,0,0,0,4,0,0,0,1,0,1,0,0,0,2,14,3,0
0,11,1,4,1,0,2,1,1,0,0,0,196,5,3,0,0,0,0,0,0,2,8,13,14,1,1,0,1
0,15,4,12,4,0,13,11,12,2,0,0,5,351,45,0,13,2,7,1,12,4,9,7,36,0,1,1,5
1,12,6,18,1,0,6,3,1,1,0,0,2,29,523,0,59,5,6,2,1,5,2,3,7,2,1,1,3
9,1,0,2,5,109,0,1,0,20,8,42,0,3,0,334,0,11,7,0,1,1,0,0,0,98,42,6,0
1,2,2,3,1,0,0,0,0,1,0,0,1,8,69,0,159,0,1,1,3,0,3,0,1,0,0,1,0
3,0,0,1,3,1,0,0,0,1,0,0,1,4,2,4,4,590,0,63,2,3,0,0,0,3,13,1,1
3,0,0,0,2,14,0,1,0,33,0,5,0,0,0,2,1,0,218,0,0,0,0,0,1,1,2,3,0
0,4,5,1,0,2,2,0,1,0,0,0,1,3,6,1,1,154,2,164,0,1,0,3,21,0,2,0,1
1,2,8,0,0,0,7,47,4,0,0,0,2,5,3,1,7,3,0,0,599,0,11,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,84,0,0,1,0,0,1,4
1,69,4,7,0,1,3,18,31,0,0,0,35,12,6,0,1,1,2,1,7,1,471,24,4,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,119,4,1,0,0,0
3,38,12,15,2,1,1,10,8,0,0,1,26,66,46,0,6,3,5,5,4,5,6,12,419,0,3,3,0
3,0,0,0,13,45,0,0,0,1,0,9,0,0,0,10,0,2,1,0,0,0,0,0,0,252,7,18,0
1,0,0,0,1,8,0,0,0,7,2,11,0,0,0,5,0,7,11,0,0,10,0,0,0,4,609,20,4
0,0,0,0,42,28,0,0,0,3,0,14,0,1,0,2,0,1,6,0,0,4,0,0,1,17,24,557,0
2,3,1,1,0,0,1,0,1,3,0,4,2,6,2,0,1,4,0,1,6,239,0,0,5,1,12,3,402
